week_start_date,product_id,store_id,opening_stock,units_received,units_sold,closing_stock,stockout_flag
2024-01-01,BEV005,STR018,220,176,71,325,False
2024-01-01,BEV005,STR019,288,99,116,271,False
2024-01-01,BEV005,STR020,340,130,121,349,False
2024-01-01,BEV005,STR021,213,277,66,424,False
2024-01-01,BEV005,STR022,213,136,121,228,False
2024-01-01,BEV005,STR023,455,200,105,550,False
2024-01-01,BEV005,STR024,442,132,124,450,False
2024-01-01,BEV005,STR025,199,177,70,306,False
2024-01-01,BEV006,STR001,188,299,81,406,False
2024-01-01,BEV006,STR002,195,144,150,189,False
2024-01-01,BEV006,STR003,348,116,71,393,False
2024-01-01,BEV006,STR004,212,172,229,155,False
2024-01-01,BEV006,STR005,315,238,129,424,False
2024-01-01,BEV006,STR006,446,151,52,545,False
2024-01-01,BEV006,STR007,456,154,103,507,False
2024-01-01,BEV006,STR008,381,226,88,519,False
2024-01-01,BEV006,STR009,385,126,62,449,False
2024-01-01,BEV006,STR010,462,261,91,632,False
2024-01-01,BEV006,STR011,462,102,216,348,False
2024-01-01,BEV006,STR012,492,261,104,649,False
2024-01-01,BEV006,STR013,454,122,73,503,False
2024-01-01,BEV006,STR014,151,217,149,219,False
2024-01-01,BEV006,STR015,436,79,117,398,False
2024-01-01,BEV006,STR016,432,201,100,533,False
2024-01-01,BEV006,STR017,325,252,90,487,False
2024-01-01,BEV006,STR018,443,89,50,482,False
2024-01-01,BEV006,STR019,225,214,59,380,False
2024-01-01,BEV006,STR020,214,56,111,159,False
2024-01-01,BEV006,STR021,196,281,159,318,False
2024-01-01,BEV006,STR022,454,173,153,474,False
2024-01-01,BEV006,STR023,172,108,84,196,False
2024-01-01,BEV006,STR024,357,268,113,512,False
2024-01-01,BEV006,STR025,233,217,117,333,False
2024-01-01,BEV007,STR001,454,205,61,598,False
2024-01-01,BEV007,STR002,352,206,78,480,False
2024-01-01,BEV007,STR003,257,79,78,258,False
2024-01-01,BEV007,STR004,303,70,45,328,False
2024-01-01,BEV007,STR005,183,185,207,161,False
2024-01-01,BEV007,STR006,191,192,82,301,False
2024-01-01,BEV007,STR007,347,148,128,367,False
2024-01-01,BEV007,STR008,444,291,158,577,False
2024-01-01,BEV007,STR009,478,254,128,604,False
2024-01-01,BEV007,STR010,165,197,60,302,False
2024-01-01,BEV007,STR011,403,76,61,418,False
2024-01-01,BEV007,STR012,222,95,86,231,False
2024-01-01,BEV007,STR013,475,135,112,498,False
2024-01-01,BEV007,STR014,358,134,51,441,False
2024-01-01,BEV007,STR015,296,166,124,338,False
2024-01-01,BEV007,STR016,485,124,87,522,False
2024-01-01,BEV007,STR017,349,234,100,483,False
2024-01-01,BEV007,STR018,439,50,46,443,False
2024-01-01,BEV007,STR019,157,167,65,259,False
2024-01-01,BEV007,STR020,215,162,115,262,False
2024-01-01,BEV007,STR021,223,92,163,152,False
2024-01-01,BEV007,STR022,485,132,313,304,False
2024-01-01,BEV007,STR023,209,50,153,106,False
2024-01-01,BEV007,STR024,491,271,57,705,False
2024-01-01,BEV007,STR025,421,253,122,552,False
2024-01-01,BEV008,STR001,178,149,145,182,False
2024-01-01,BEV008,STR002,390,246,150,486,False
2024-01-01,BEV008,STR003,155,139,300,0,True
2024-01-01,BEV008,STR004,313,59,56,316,False
2024-01-01,BEV008,STR005,344,243,108,479,False
2024-01-01,BEV008,STR006,154,270,112,312,False
2024-01-01,BEV008,STR007,176,203,274,105,False
2024-01-01,BEV008,STR008,442,84,93,433,False
2024-01-01,BEV008,STR009,352,105,68,389,False
2024-01-01,BEV008,STR010,419,150,169,400,False
2024-01-01,BEV008,STR011,372,115,114,373,False
2024-01-01,BEV008,STR012,333,275,89,519,False
2024-01-01,BEV008,STR013,209,241,49,401,False
2024-01-01,BEV008,STR014,246,79,110,215,False
2024-01-01,BEV008,STR015,275,170,179,266,False
2024-01-01,BEV008,STR016,313,76,124,265,False
2024-01-01,BEV008,STR017,292,76,109,259,False
2024-01-01,BEV008,STR018,447,132,126,453,False
2024-01-01,BEV008,STR019,284,258,144,398,False
2024-01-01,BEV008,STR020,199,114,83,230,False
2024-01-01,BEV008,STR021,453,173,125,501,False
2024-01-01,BEV008,STR022,428,229,313,344,False
2024-01-01,BEV008,STR023,476,61,139,398,False
2024-01-01,BEV008,STR024,312,101,37,376,False
2024-01-01,BEV008,STR025,468,65,127,406,False
2024-01-01,BEV009,STR001,337,136,241,232,False
2024-01-01,BEV009,STR002,393,218,80,531,False
2024-01-01,BEV009,STR003,351,248,141,458,False
2024-01-01,BEV009,STR004,222,267,69,420,False
2024-01-01,BEV009,STR005,301,271,96,476,False
2024-01-01,BEV009,STR006,174,282,169,287,False
2024-01-01,BEV009,STR007,339,205,105,439,False
2024-01-01,BEV009,STR008,252,173,92,333,False
2024-01-01,BEV009,STR009,204,233,161,276,False
2024-01-01,BEV009,STR010,496,165,121,540,False
2024-01-01,BEV009,STR011,464,216,109,571,False
2024-01-01,BEV009,STR012,224,208,297,135,False
2024-01-01,BEV009,STR013,214,62,70,206,False
2024-01-01,BEV009,STR014,313,209,163,359,False
2024-01-01,BEV009,STR015,291,211,72,430,False
2024-01-01,BEV009,STR016,154,202,116,240,False
2024-01-01,BEV009,STR017,355,120,68,407,False
2024-01-01,BEV009,STR018,173,106,128,151,False
2024-01-01,BEV009,STR019,310,150,125,335,False
2024-01-01,BEV009,STR020,408,213,94,527,False
2024-01-01,BEV009,STR021,321,55,135,241,False
2024-01-01,BEV009,STR022,441,69,236,274,False
2024-01-01,BEV009,STR023,380,73,100,353,False
2024-01-01,BEV009,STR024,394,129,118,405,False
2024-01-01,BEV009,STR025,445,170,75,540,False
2024-01-01,BEV010,STR001,197,179,87,289,False
2024-01-01,BEV010,STR002,292,156,186,262,False
2024-01-01,BEV010,STR003,340,136,115,361,False
2024-01-01,BEV010,STR004,214,299,126,387,False
2024-01-01,BEV010,STR005,273,269,115,427,False
2024-01-01,BEV010,STR006,411,210,64,557,False
2024-01-01,BEV010,STR007,290,253,135,408,False
2024-01-01,BEV010,STR008,201,129,52,278,False
2024-01-01,BEV010,STR009,158,299,287,170,False
2024-01-01,BEV010,STR010,185,113,168,130,False
2024-01-01,BEV010,STR011,395,297,79,613,False
2024-01-01,BEV010,STR012,471,191,241,421,False
2024-01-01,BEV010,STR013,466,234,94,606,False
2024-01-01,BEV010,STR014,441,68,236,273,False
2024-01-01,BEV010,STR015,422,236,234,424,False
2024-01-01,BEV010,STR016,346,86,166,266,False
2024-01-01,BEV010,STR017,425,271,90,606,False
2024-01-01,BEV010,STR018,384,118,108,394,False
2024-01-01,BEV010,STR019,191,170,44,317,False
2024-01-01,BEV010,STR020,332,117,52,397,False
2024-01-01,BEV010,STR021,234,224,159,299,False
2024-01-01,BEV010,STR022,379,238,63,554,False
2024-01-01,BEV010,STR023,448,284,114,618,False
2024-01-01,BEV010,STR024,260,129,189,200,False
2024-01-01,BEV010,STR025,240,154,53,341,False
2024-01-01,BEV011,STR001,253,76,177,152,False
2024-01-01,BEV011,STR002,204,283,90,397,False
2024-01-01,BEV011,STR003,234,115,48,301,False
2024-01-01,BEV011,STR004,283,292,196,379,False
2024-01-01,BEV011,STR005,484,71,88,467,False
2024-01-01,BEV011,STR006,244,256,89,411,False
2024-01-01,BEV011,STR007,447,140,80,507,False
2024-01-01,BEV011,STR008,221,132,95,258,False
2024-01-01,BEV011,STR009,279,249,147,381,False
2024-01-01,BEV011,STR010,246,150,159,237,False
2024-01-01,BEV011,STR011,277,62,134,205,False
2024-01-01,BEV011,STR012,209,82,115,176,False
2024-01-01,BEV011,STR013,435,287,198,524,False
2024-01-01,BEV011,STR014,181,280,221,240,False
2024-01-01,BEV011,STR015,319,204,56,467,False
2024-01-01,BEV011,STR016,271,211,321,161,False
2024-01-01,BEV011,STR017,461,69,98,432,False
2024-01-01,BEV011,STR018,413,209,137,485,False
2024-01-01,BEV011,STR019,404,97,44,457,False
2024-01-01,BEV011,STR020,392,285,155,522,False
2024-01-01,BEV011,STR021,225,224,253,196,False
2024-01-01,BEV011,STR022,252,103,180,175,False
2024-01-01,BEV011,STR023,454,172,63,563,False
2024-01-01,BEV011,STR024,308,154,115,347,False
2024-01-01,BEV011,STR025,465,145,114,496,False
2024-01-01,BEV012,STR001,450,74,131,393,False
2024-01-01,BEV012,STR002,166,264,144,286,False
2024-01-01,BEV012,STR003,189,133,140,182,False
2024-01-01,BEV012,STR004,480,74,217,337,False
2024-01-01,BEV012,STR005,242,83,92,233,False
2024-01-01,BEV012,STR006,252,51,223,80,False
2024-01-01,BEV012,STR007,409,133,65,477,False
2024-01-01,BEV012,STR008,281,174,149,306,False
2024-01-01,BEV012,STR009,207,74,61,220,False
2024-01-01,BEV012,STR010,206,198,175,229,False
2024-01-01,BEV012,STR011,411,76,99,388,False
2024-01-01,BEV012,STR012,285,192,128,349,False
2024-01-01,BEV012,STR013,213,290,87,416,False
2024-01-01,BEV012,STR014,242,167,137,272,False
2024-01-01,BEV012,STR015,368,173,216,325,False
2024-01-01,BEV012,STR016,473,139,142,470,False
2024-01-01,BEV012,STR017,197,167,91,273,False
2024-01-01,BEV012,STR018,439,205,143,501,False
2024-01-01,BEV012,STR019,326,145,42,429,False
2024-01-01,BEV012,STR020,158,196,99,255,False
2024-01-01,BEV012,STR021,351,297,70,578,False
2024-01-01,BEV012,STR022,252,118,81,289,False
2024-01-01,BEV012,STR023,488,83,70,501,False
2024-01-01,BEV012,STR024,457,108,123,442,False
2024-01-01,BEV012,STR025,481,80,281,280,False
2024-01-01,BEV013,STR001,345,281,119,507,False
2024-01-01,BEV013,STR002,198,82,53,227,False
2024-01-01,BEV013,STR003,152,68,118,102,False
2024-01-01,BEV013,STR004,457,225,68,614,False
2024-01-01,BEV013,STR005,400,225,109,516,False
2024-01-01,BEV013,STR006,409,197,47,559,False
2024-01-01,BEV013,STR007,496,256,63,689,False
2024-01-01,BEV013,STR008,464,115,57,522,False
2024-01-01,BEV013,STR009,343,250,146,447,False
2024-01-01,BEV013,STR010,247,177,58,366,False
2024-01-01,BEV013,STR011,251,190,116,325,False
2024-01-01,BEV013,STR012,370,209,231,348,False
2024-01-01,BEV013,STR013,332,168,123,377,False
2024-01-01,BEV013,STR014,430,120,68,482,False
2024-01-01,BEV013,STR015,460,144,45,559,False
2024-01-01,BEV013,STR016,478,285,123,640,False
2024-01-01,BEV013,STR017,357,201,56,502,False
2024-01-01,BEV013,STR018,328,93,138,283,False
2024-01-01,BEV013,STR019,346,58,107,297,False
2024-01-01,BEV013,STR020,448,51,119,380,False
2024-01-01,BEV013,STR021,488,262,156,594,False
2024-01-01,BEV013,STR022,465,92,171,386,False
2024-01-01,BEV013,STR023,197,118,164,151,False
2024-01-01,BEV013,STR024,273,272,54,491,False
2024-01-01,BEV013,STR025,354,209,100,463,False
2024-01-01,BEV014,STR001,247,60,136,171,False
2024-01-01,BEV014,STR002,444,295,142,597,False
2024-01-01,BEV014,STR003,343,193,145,391,False
2024-01-01,BEV014,STR004,300,81,94,287,False
2024-01-01,BEV014,STR005,441,280,102,619,False
2024-01-01,BEV014,STR006,215,210,80,345,False
2024-01-01,BEV014,STR007,236,54,81,209,False
2024-01-01,BEV014,STR008,342,160,152,350,False
2024-01-01,BEV014,STR009,247,85,151,181,False
2024-01-01,BEV014,STR010,275,231,126,380,False
2024-01-01,BEV014,STR011,463,56,211,308,False
2024-01-01,BEV014,STR012,189,173,44,318,False
2024-01-01,BEV014,STR013,480,189,200,469,False
2024-01-01,BEV014,STR014,469,298,81,686,False
2024-01-01,BEV014,STR015,388,178,182,384,False
2024-01-01,BEV014,STR016,237,209,264,182,False
2024-01-01,BEV014,STR017,395,271,165,501,False
2024-01-01,BEV014,STR018,280,157,130,307,False
2024-01-01,BEV014,STR019,189,245,46,388,False
2024-01-01,BEV014,STR020,308,70,134,244,False
2024-01-01,BEV014,STR021,165,198,105,258,False
2024-01-01,BEV014,STR022,261,255,80,436,False
2024-01-01,BEV014,STR023,183,200,133,250,False
2024-01-01,BEV014,STR024,401,136,62,475,False
2024-01-01,BEV014,STR025,454,142,59,537,False
2024-01-01,BEV015,STR001,239,151,149,241,False
2024-01-01,BEV015,STR002,334,275,144,465,False
2024-01-01,BEV015,STR003,430,83,162,351,False
2024-01-01,BEV015,STR004,499,95,117,477,False
2024-01-01,BEV015,STR005,428,153,99,482,False
2024-01-01,BEV015,STR006,256,236,62,430,False
2024-01-01,BEV015,STR007,444,165,98,511,False
2024-01-01,BEV015,STR008,344,241,97,488,False
2024-01-01,BEV015,STR009,314,54,135,233,False
2024-01-01,BEV015,STR010,314,73,164,223,False
2024-01-01,BEV015,STR011,471,216,90,597,False
2024-01-01,BEV015,STR012,156,277,133,300,False
2024-01-01,BEV015,STR013,472,61,219,314,False
2024-01-01,BEV015,STR014,308,251,248,311,False
2024-01-01,BEV015,STR015,406,188,73,521,False
2024-01-01,BEV015,STR016,377,176,166,387,False
2024-01-01,BEV015,STR017,216,89,205,100,False
2024-01-01,BEV015,STR018,172,300,48,424,False
2024-01-01,BEV015,STR019,210,262,106,366,False
2024-01-01,BEV015,STR020,270,159,194,235,False
2024-01-01,BEV015,STR021,160,272,248,184,False
2024-01-01,BEV015,STR022,364,98,155,307,False
2024-01-01,BEV015,STR023,226,258,56,428,False
2024-01-01,BEV015,STR024,309,89,169,229,False
2024-01-01,BEV015,STR025,420,155,112,463,False
2024-01-08,BEV001,STR001,161,126,143,144,False
2024-01-08,BEV001,STR002,341,175,42,474,False
2024-01-08,BEV001,STR003,452,87,163,376,False
2024-01-08,BEV001,STR004,173,61,76,158,False
2024-01-08,BEV001,STR005,437,199,97,539,False
2024-01-08,BEV001,STR006,386,51,63,374,False
2024-01-08,BEV001,STR007,397,141,135,403,False
2024-01-08,BEV001,STR008,496,276,160,612,False
2024-01-08,BEV001,STR009,364,128,144,348,False
2024-01-08,BEV001,STR010,271,270,382,159,False
2024-01-08,BEV001,STR011,417,53,109,361,False
2024-01-08,BEV001,STR012,240,228,156,312,False
2024-01-08,BEV001,STR013,206,187,119,274,False
2024-01-08,BEV001,STR014,414,154,101,467,False
2024-01-08,BEV001,STR015,306,216,90,432,False
2024-01-08,BEV001,STR016,179,284,78,385,False
2024-01-08,BEV001,STR017,226,132,116,242,False
2024-01-08,BEV001,STR018,379,101,217,263,False
2024-01-08,BEV001,STR019,454,75,209,320,False
2024-01-08,BEV001,STR020,158,64,93,129,False
2024-01-08,BEV001,STR021,360,192,84,468,False
2024-01-08,BEV001,STR022,312,55,97,270,False
2024-01-08,BEV001,STR023,473,156,63,566,False
2024-01-08,BEV001,STR024,180,66,195,51,False
2024-01-08,BEV001,STR025,296,147,59,384,False
2024-01-08,BEV002,STR001,291,228,101,418,False
2024-01-08,BEV002,STR002,441,164,198,407,False
2024-01-08,BEV002,STR003,323,139,136,326,False
2024-01-08,BEV002,STR004,425,101,114,412,False
2024-01-08,BEV002,STR005,233,201,74,360,False
2024-01-08,BEV002,STR006,195,219,117,297,False
2024-01-08,BEV002,STR007,155,57,181,31,False
2024-01-08,BEV002,STR008,401,145,132,414,False
2024-01-08,BEV002,STR009,367,199,51,515,False
2024-01-08,BEV002,STR010,445,135,91,489,False
2024-01-08,BEV002,STR011,409,143,209,343,False
2024-01-08,BEV002,STR012,150,269,198,221,False
2024-01-08,BEV002,STR013,350,138,208,280,False
2024-01-08,BEV002,STR014,267,141,55,353,False
2024-01-08,BEV002,STR015,319,102,47,374,False
2024-01-08,BEV002,STR016,392,234,110,516,False
2024-01-08,BEV002,STR017,339,147,51,435,False
2024-01-08,BEV002,STR018,491,163,89,565,False
2024-01-08,BEV002,STR019,418,262,105,575,False
2024-01-08,BEV002,STR020,482,113,64,531,False
2024-01-08,BEV002,STR021,448,233,223,458,False
2024-01-08,BEV002,STR022,162,85,184,63,False
2024-01-08,BEV002,STR023,453,188,138,503,False
2024-01-08,BEV002,STR024,221,64,121,164,False
2024-01-08,BEV002,STR025,289,168,191,266,False
2024-01-08,BEV003,STR001,187,252,121,318,False
2024-01-08,BEV003,STR002,178,246,92,332,False
2024-01-08,BEV003,STR003,476,147,71,552,False
2024-01-08,BEV003,STR004,304,289,106,487,False
2024-01-08,BEV003,STR005,498,211,126,583,False
2024-01-08,BEV003,STR006,220,80,117,183,False
2024-01-08,BEV003,STR007,437,226,135,528,False
2024-01-08,BEV003,STR008,485,270,140,615,False
2024-01-08,BEV003,STR009,172,52,88,136,False
2024-01-08,BEV003,STR010,273,288,177,384,False
2024-01-08,BEV003,STR011,283,212,76,419,False
2024-01-08,BEV003,STR012,354,82,160,276,False
2024-01-08,BEV003,STR013,432,120,178,374,False
2024-01-08,BEV003,STR014,228,297,172,353,False
2024-01-08,BEV003,STR015,344,86,259,171,False
2024-01-08,BEV003,STR016,245,252,230,267,False
2024-01-08,BEV003,STR017,442,209,134,517,False
2024-01-08,BEV003,STR018,194,69,134,129,False
2024-01-08,BEV003,STR019,313,206,82,437,False
2024-01-08,BEV003,STR020,379,267,333,313,False
2024-01-08,BEV003,STR021,201,56,125,132,False
2024-01-08,BEV003,STR022,423,154,75,502,False
2024-01-08,BEV003,STR023,333,260,99,494,False
2024-01-08,BEV003,STR024,227,114,141,200,False
2024-01-08,BEV003,STR025,464,147,91,520,False
2024-01-08,BEV004,STR001,234,62,104,192,False
2024-01-08,BEV004,STR002,261,118,114,265,False
2024-01-08,BEV004,STR003,385,195,104,476,False
2024-01-08,BEV004,STR004,452,98,93,457,False
2024-01-08,BEV004,STR005,463,231,133,561,False
2024-01-08,BEV004,STR006,429,150,114,465,False
2024-01-08,BEV004,STR007,302,292,124,470,False
2024-01-08,BEV004,STR008,285,178,161,302,False
2024-01-08,BEV004,STR009,185,293,182,296,False
2024-01-08,BEV004,STR010,461,237,70,628,False
2024-01-08,BEV004,STR011,307,78,90,295,False
2024-01-08,BEV004,STR012,339,166,121,384,False
2024-01-08,BEV004,STR013,294,267,178,383,False
2024-01-08,BEV004,STR014,413,127,135,405,False
2024-01-08,BEV004,STR015,342,112,120,334,False
2024-01-08,BEV004,STR016,191,50,235,6,False
2024-01-08,BEV004,STR017,285,63,63,285,False
2024-01-08,BEV004,STR018,351,264,97,518,False
2024-01-08,BEV004,STR019,161,216,196,181,False
2024-01-08,BEV004,STR020,229,170,309,90,False
2024-01-08,BEV004,STR021,348,142,154,336,False
2024-01-08,BEV004,STR022,313,157,147,323,False
2024-01-08,BEV004,STR023,396,262,166,492,False
2024-01-08,BEV004,STR024,453,187,122,518,False
2024-01-08,BEV004,STR025,167,290,66,391,False
2024-01-08,BEV005,STR001,412,157,62,507,False
2024-01-08,BEV005,STR002,292,288,148,432,False
2024-01-08,BEV005,STR003,305,90,92,303,False
2024-01-08,BEV005,STR004,258,165,76,347,False
2024-01-08,BEV005,STR005,449,108,40,517,False
2024-01-08,BEV005,STR006,349,105,106,348,False
2024-01-08,BEV005,STR007,193,140,131,202,False
2024-01-08,BEV005,STR008,421,165,63,523,False
2024-01-08,BEV005,STR009,409,284,151,542,False
2024-01-08,BEV005,STR010,406,280,139,547,False
2024-01-08,BEV005,STR011,350,92,40,402,False
2024-01-08,BEV005,STR012,465,172,51,586,False
2024-01-08,BEV005,STR013,428,55,209,274,False
2024-01-08,BEV005,STR014,342,174,148,368,False
2024-01-08,BEV005,STR015,292,221,68,445,False
2024-01-08,BEV005,STR016,353,261,148,466,False
2024-01-08,BEV005,STR017,216,246,124,338,False
2024-01-08,BEV005,STR018,500,276,144,632,False
2024-01-08,BEV005,STR019,367,144,240,271,False
2024-01-08,BEV005,STR020,271,101,271,101,False
2024-01-08,BEV005,STR021,150,143,47,246,False
2024-01-08,BEV005,STR022,173,177,134,216,False
2024-01-08,BEV005,STR023,299,292,134,457,False
2024-01-08,BEV005,STR024,220,189,113,296,False
2024-01-08,BEV005,STR025,280,99,63,316,False
2024-01-08,BEV006,STR001,191,250,77,364,False
2024-01-08,BEV006,STR002,341,196,137,400,False
2024-01-08,BEV006,STR003,243,241,117,367,False
2024-01-08,BEV006,STR004,284,97,129,252,False
2024-01-08,BEV006,STR005,455,240,184,511,False
2024-01-08,BEV006,STR006,340,205,84,461,False
2024-01-08,BEV006,STR007,181,234,106,309,False
2024-01-08,BEV006,STR008,326,198,141,383,False
2024-01-08,BEV006,STR009,475,52,64,463,False
2024-01-08,BEV006,STR010,443,146,177,412,False
2024-01-08,BEV006,STR011,449,196,39,606,False
2024-01-08,BEV006,STR012,500,91,66,525,False
2024-01-08,BEV006,STR013,369,245,102,512,False
2024-01-08,BEV006,STR014,216,184,162,238,False
2024-01-08,BEV006,STR015,310,151,84,377,False
2024-01-08,BEV006,STR016,150,109,84,175,False
2024-01-08,BEV006,STR017,206,186,73,319,False
2024-01-08,BEV006,STR018,388,173,128,433,False
2024-01-08,BEV006,STR019,273,214,240,247,False
2024-01-08,BEV006,STR020,447,192,315,324,False
2024-01-08,BEV006,STR021,188,222,57,353,False
2024-01-08,BEV006,STR022,262,279,183,358,False
2024-01-08,BEV006,STR023,388,190,173,405,False
2024-01-08,BEV006,STR024,391,127,98,420,False
2024-01-08,BEV006,STR025,352,272,225,399,False
2024-01-08,BEV007,STR001,305,228,123,410,False
2024-01-08,BEV007,STR002,319,215,178,356,False
2024-01-08,BEV007,STR003,346,212,141,417,False
2024-01-08,BEV007,STR004,337,171,78,430,False
2024-01-08,BEV007,STR005,377,170,132,415,False
2024-01-08,BEV007,STR006,439,159,107,491,False
2024-01-08,BEV007,STR007,274,64,70,268,False
2024-01-08,BEV007,STR008,494,68,96,466,False
2024-01-08,BEV007,STR009,473,251,160,564,False
2024-01-08,BEV007,STR010,329,166,228,267,False
